Cuvant,Locatii
best,"(Linia 8, Pozitia 5)"
Jeff,"(Linia 4, Pozitia 6)"
Commons,"(Linia 4, Pozitia 12)"
40,"(Linia 5, Pozitia 2)"
1920,"(Linia 159, Pozitia 3)"
1,"(Linia 42, Pozitia 2)"
1909,"(Linia 153, Pozitia 11)"
327,"(Linia 412, Pozitia 11)"
325,"(Linia 151, Pozitia 1), (Linia 412, Pozitia 9)"
326,"(Linia 412, Pozitia 10)"
328,"(Linia 412, Pozitia 12)"
329,"(Linia 412, Pozitia 13)"
330,"(Linia 412, Pozitia 15)"
Antoine,"(Linia 616022432, Pozitia 491)"
About,"(Linia 447, Pozitia 1)"
612,"(Linia 153, Pozitia 3), (Linia 157, Pozitia 9), (Linia 160, Pozitia 12), (Linia 172, Pozitia 9)"
A,"(Linia 80, Pozitia 15), (Linia 268, Pozitia 1), (Linia 269, Pozitia 1), (Linia 301, Pozitia 2), (Linia 302, Pozitia 2), (Linia 654, Pozitia 2), (Linia 817, Pozitia 12), (Linia 1007, Pozitia 15)"
Adieu,"(Linia 827, Pozitia 1)"
About,"(Linia 757, Pozitia 3)"
Above,"(Linia 444, Pozitia 1)"
Adieu,"(Linia 951, Pozitia 1)"
After,"(Linia 43, Pozitia 9)"
Admire,"(Linia 527, Pozitia 6)"
Africa,"(Linia 766, Pozitia 4), (Linia 788, Pozitia 5), (Linia 1265, Pozitia 16)"
All,"(Linia 12, Pozitia 3), (Linia 419, Pozitia 13)"
After,"(Linia 519, Pozitia 1)"
Again,"(Linia 1159, Pozitia 1)"
Ah,"(Linia 116, Pozitia 1), (Linia 202, Pozitia 1), (Linia 246, Pozitia 1), (Linia 338, Pozitia 1), (Linia 416, Pozitia 1), (Linia 506, Pozitia 1), (Linia 506, Pozitia 2), (Linia 512, Pozitia 2), (Linia 573, Pozitia 1), (Linia 695, Pozitia 1), (Linia 789, Pozitia 1), (Linia 796, Pozitia 1), (Linia 851, Pozitia 1), (Linia 870, Pozitia 1), (Linia 928, Pozitia 1), (Linia 997, Pozitia 1), (Linia 1108, Pozitia 1), (Linia 1178, Pozitia 1), (Linia 1212, Pozitia 1)"
All,"(Linia 896, Pozitia 11), (Linia 1169, Pozitia 2), (Linia 1222, Pozitia 13), (Linia 1223, Pozitia 2)"
America,"(Linia 766, Pozitia 11), (Linia 767, Pozitia 1)"
And,"(Linia 37, Pozitia 1), (Linia 45, Pozitia 7), (Linia 49, Pozitia 8), (Linia 59, Pozitia 1), (Linia 70, Pozitia 1), (Linia 79, Pozitia 8), (Linia 105, Pozitia 1), (Linia 113, Pozitia 1), (Linia 117, Pozitia 1), (Linia 124, Pozitia 1), (Linia 132, Pozitia 4), (Linia 132, Pozitia 23), (Linia 137, Pozitia 1), (Linia 142, Pozitia 1), (Linia 159, Pozitia 9), (Linia 182, Pozitia 18), (Linia 214, Pozitia 10), (Linia 216, Pozitia 1), (Linia 225, Pozitia 6), (Linia 231, Pozitia 1), (Linia 236, Pozitia 1), (Linia 253, Pozitia 13), (Linia 258, Pozitia 8), (Linia 260, Pozitia 1), (Linia 286, Pozitia 1), (Linia 299, Pozitia 2), (Linia 299, Pozitia 19), (Linia 305, Pozitia 2), (Linia 308, Pozitia 1), (Linia 315, Pozitia 4), (Linia 335, Pozitia 15), (Linia 337, Pozitia 1), (Linia 341, Pozitia 9), (Linia 346, Pozitia 1), (Linia 382, Pozitia 7), (Linia 390, Pozitia 5), (Linia 408, Pozitia 1), (Linia 417, Pozitia 1), (Linia 450, Pozitia 1), (Linia 454, Pozitia 10), (Linia 471, Pozitia 10), (Linia 473, Pozitia 10), (Linia 516, Pozitia 17), (Linia 520, Pozitia 1), (Linia 530, Pozitia 1), (Linia 544, Pozitia 1), (Linia 575, Pozitia 1), (Linia 578, Pozitia 1), (Linia 586, Pozitia 1), (Linia 588, Pozitia 1), (Linia 599, Pozitia 2), (Linia 600, Pozitia 8), (Linia 608, Pozitia 14), (Linia 610, Pozitia 2), (Linia 636, Pozitia 1), (Linia 641, Pozitia 1), (Linia 646, Pozitia 1), (Linia 656, Pozitia 1), (Linia 670, Pozitia 1), (Linia 691, Pozitia 14), (Linia 695, Pozitia 7), (Linia 697, Pozitia 1), (Linia 703, Pozitia 12), (Linia 707, Pozitia 14), (Linia 722, Pozitia 1), (Linia 747, Pozitia 6), (Linia 751, Pozitia 1), (Linia 767, Pozitia 2), (Linia 797, Pozitia 1), (Linia 815, Pozitia 1), (Linia 830, Pozitia 9), (Linia 839, Pozitia 17), (Linia 844, Pozitia 10), (Linia 852, Pozitia 1), (Linia 853, Pozitia 3), (Linia 855, Pozitia 8), (Linia 859, Pozitia 15), (Linia 862, Pozitia 1), (Linia 881, Pozitia 2), (Linia 881, Pozitia 8), (Linia 892, Pozitia 4), (Linia 899, Pozitia 16), (Linia 901, Pozitia 9), (Linia 903, Pozitia 5), (Linia 927, Pozitia 8), (Linia 943, Pozitia 1), (Linia 950, Pozitia 1), (Linia 967, Pozitia 1), (Linia 970, Pozitia 1), (Linia 975, Pozitia 1), (Linia 990, Pozitia 1), (Linia 1021, Pozitia 11), (Linia 1025, Pozitia 1), (Linia 1026, Pozitia 4), (Linia 1042, Pozitia 13), (Linia 1044, Pozitia 1), (Linia 1048, Pozitia 1), (Linia 1055, Pozitia 10), (Linia 1063, Pozitia 1), (Linia 1072, Pozitia 2), (Linia 1074, Pozitia 1), (Linia 1088, Pozitia 1), (Linia 1091, Pozitia 6), (Linia 1097, Pozitia 1), (Linia 1098, Pozitia 1), (Linia 1104, Pozitia 1), (Linia 1116, Pozitia 17), (Linia 1137, Pozitia 17), (Linia 1153, Pozitia 5), (Linia 1153, Pozitia 13), (Linia 1154, Pozitia 1), (Linia 1159, Pozitia 11), (Linia 1176, Pozitia 11), (Linia 1189, Pozitia 1), (Linia 1190, Pozitia 1), (Linia 1191, Pozitia 15), (Linia 1192, Pozitia 8), (Linia 1194, Pozitia 1), (Linia 1195, Pozitia 1), (Linia 1198, Pozitia 1), (Linia 1213, Pozitia 1), (Linia 1227, Pozitia 1), (Linia 1229, Pozitia 1), (Linia 1231, Pozitia 10), (Linia 1231, Pozitia 14), (Linia 1241, Pozitia 1), (Linia 1246, Pozitia 1), (Linia 1251, Pozitia 16), (Linia 1259, Pozitia 15), (Linia 1261, Pozitia 1), (Linia 1266, Pozitia 5)"
Another,"(Linia 1119, Pozitia 1)"
Because,"(Linia 101, Pozitia 2)"
As,"(Linia 72, Pozitia 13), (Linia 78, Pozitia 1)"
Anywhere,"(Linia 139, Pozitia 2)"
Are,"(Linia 693, Pozitia 7), (Linia 876, Pozitia 8), (Linia 1016, Pozitia 1), (Linia 1127, Pozitia 5)"
Arizona,"(Linia 38, Pozitia 3)"
At,"(Linia 190, Pozitia 2)"
As,"(Linia 214, Pozitia 6), (Linia 406, Pozitia 13), (Linia 1035, Pozitia 1), (Linia 1040, Pozitia 1), (Linia 1131, Pozitia 16)"
Ask,"(Linia 1259, Pozitia 5)"
Asked,"(Linia 538, Pozitia 5), (Linia 787, Pozitia 8), (Linia 971, Pozitia 5), (Linia 976, Pozitia 7)"
Astronomy,"(Linia 155, Pozitia 14)"
At,"(Linia 284, Pozitia 5)"
Australia,"(Linia 763, Pozitia 4)"
At,"(Linia 627, Pozitia 5), (Linia 726, Pozitia 4), (Linia 840, Pozitia 10), (Linia 918, Pozitia 11)"
Attach,"(Linia 135, Pozitia 1)"
Attractionjpg,"(Linia 1146, Pozitia 1)"
Authority,"(Linia 461, Pozitia 17)"
B,"(Linia 153, Pozitia 2), (Linia 157, Pozitia 8), (Linia 160, Pozitia 11), (Linia 172, Pozitia 8)"
Be,"(Linia 837, Pozitia 1)"
Big,"(Linia 156, Pozitia 10), (Linia 161, Pozitia 8), (Linia 545, Pozitia 1)"
Because,"(Linia 180, Pozitia 1), (Linia 707, Pozitia 1), (Linia 710, Pozitia 1), (Linia 732, Pozitia 1), (Linia 1003, Pozitia 1)"
Bees,"(Linia 570, Pozitia 2)"
But,"(Linia 12, Pozitia 8)"
Boa,"(Linia 20, Pozitia 7)"
But,"(Linia 43, Pozitia 2)"
Children,"(Linia 173, Pozitia 15)"
But,"(Linia 61, Pozitia 1), (Linia 74, Pozitia 9), (Linia 92, Pozitia 1), (Linia 98, Pozitia 1), (Linia 122, Pozitia 1), (Linia 136, Pozitia 1), (Linia 138, Pozitia 2), (Linia 156, Pozitia 2), (Linia 171, Pozitia 13), (Linia 175, Pozitia 1), (Linia 186, Pozitia 14), (Linia 190, Pozitia 13), (Linia 191, Pozitia 17), (Linia 203, Pozitia 16), (Linia 211, Pozitia 1), (Linia 213, Pozitia 5), (Linia 217, Pozitia 14), (Linia 221, Pozitia 1), (Linia 233, Pozitia 11), (Linia 237, Pozitia 4), (Linia 250, Pozitia 2), (Linia 257, Pozitia 8), (Linia 263, Pozitia 1), (Linia 281, Pozitia 1), (Linia 287, Pozitia 2), (Linia 287, Pozitia 5), (Linia 294, Pozitia 7), (Linia 300, Pozitia 7), (Linia 314, Pozitia 4), (Linia 327, Pozitia 6), (Linia 329, Pozitia 13), (Linia 360, Pozitia 1), (Linia 376, Pozitia 12), (Linia 383, Pozitia 9), (Linia 389, Pozitia 9), (Linia 393, Pozitia 1), (Linia 395, Pozitia 4), (Linia 400, Pozitia 1), (Linia 402, Pozitia 2), (Linia 404, Pozitia 2), (Linia 433, Pozitia 8), (Linia 440, Pozitia 1), (Linia 467, Pozitia 12), (Linia 480, Pozitia 1), (Linia 483, Pozitia 4), (Linia 491, Pozitia 10), (Linia 495, Pozitia 1), (Linia 521, Pozitia 1), (Linia 526, Pozitia 2), (Linia 569, Pozitia 2), (Linia 571, Pozitia 2), (Linia 571, Pozitia 12), (Linia 584, Pozitia 1), (Linia 601, Pozitia 17), (Linia 605, Pozitia 9), (Linia 612, Pozitia 10), (Linia 616, Pozitia 14), (Linia 637, Pozitia 1), (Linia 676, Pozitia 12), (Linia 699, Pozitia 1), (Linia 702, Pozitia 14), (Linia 716, Pozitia 6), (Linia 720, Pozitia 1), (Linia 727, Pozitia 10), (Linia 737, Pozitia 1), (Linia 741, Pozitia 1), (Linia 748, Pozitia 8), (Linia 780, Pozitia 8), (Linia 793, Pozitia 11), (Linia 802, Pozitia 1), (Linia 807, Pozitia 18), (Linia 823, Pozitia 18), (Linia 832, Pozitia 6), (Linia 843, Pozitia 1), (Linia 871, Pozitia 1), (Linia 882, Pozitia 4), (Linia 895, Pozitia 1), (Linia 897, Pozitia 12), (Linia 901, Pozitia 12), (Linia 909, Pozitia 8), (Linia 914, Pozitia 7), (Linia 919, Pozitia 9), (Linia 932, Pozitia 1), (Linia 942, Pozitia 3), (Linia 945, Pozitia 12), (Linia 958, Pozitia 9), (Linia 1009, Pozitia 1), (Linia 1017, Pozitia 1), (Linia 1030, Pozitia 13), (Linia 1051, Pozitia 12), (Linia 1075, Pozitia 1), (Linia 1093, Pozitia 1), (Linia 1109, Pozitia 1), (Linia 1112, Pozitia 1), (Linia 1157, Pozitia 6), (Linia 1162, Pozitia 1), (Linia 1165, Pozitia 1), (Linia 1183, Pozitia 7), (Linia 1204, Pozitia 1), (Linia 1208, Pozitia 1), (Linia 1213, Pozitia 8), (Linia 1219, Pozitia 1), (Linia 1221, Pozitia 6), (Linia 1244, Pozitia 13), (Linia 1247, Pozitia 1)"
CCBYNCND,"(Linia 5, Pozitia 1)"
Children,"(Linia 239, Pozitia 4), (Linia 979, Pozitia 1)"
China,"(Linia 38, Pozitia 1), (Linia 764, Pozitia 6)"
Christmas,"(Linia 1067, Pozitia 5), (Linia 1068, Pozitia 7)"
Come,"(Linia 214, Pozitia 4), (Linia 420, Pozitia 1), (Linia 428, Pozitia 7), (Linia 868, Pozitia 1), (Linia 1111, Pozitia 1)"
Hein,"(Linia 56, Pozitia 2)"
Every,"(Linia 195, Pozitia 1)"
Create,"(Linia 878, Pozitia 9)"
Congress,"(Linia 156, Pozitia 1)"
Copyrighted,"(Linia 4, Pozitia 4)"
Create,"(Linia 879, Pozitia 2)"
Do,"(Linia 64, Pozitia 11), (Linia 84, Pozitia 10), (Linia 87, Pozitia 8), (Linia 99, Pozitia 7)"
Creative,"(Linia 4, Pozitia 11)"
Cried,"(Linia 416, Pozitia 6), (Linia 683, Pozitia 6)"
Did,"(Linia 1259, Pozitia 7)"
Earth,"(Linia 147, Pozitia 16)"
Do,"(Linia 409, Pozitia 1), (Linia 456, Pozitia 9), (Linia 476, Pozitia 1), (Linia 476, Pozitia 15), (Linia 522, Pozitia 1), (Linia 1201, Pozitia 20), (Linia 1268, Pozitia 15)"
Does,"(Linia 163, Pozitia 10)"
